DATE,FEDFUNDS,UNEMPLOY,PMSAVE
10/1/2002,1.75,8307,462.5
11/1/2002,1.34,8520,466.8
12/1/2002,1.24,8640,449.7
1/1/2003,1.24,8520,454.2
2/1/2003,1.26,8618,460.8
3/1/2003,1.25,8588,437.5
4/1/2003,1.26,8842,440.7
5/1/2003,1.26,8957,485.3
6/1/2003,1.22,9266,466.6
7/1/2003,1.01,9011,534.6
8/1/2003,1.03,8896,520.6
9/1/2003,1.01,8921,439.8
10/1/2003,1.01,8732,455.7
11/1/2003,1,8576,465.5
12/1/2003,0.98,8317,465.3
1/1/2004,1,8370,434.5
2/1/2004,1.01,8167,437.8
3/1/2004,1,8491,433.3
4/1/2004,1,8170,468.9
5/1/2004,1,8212,468.9
6/1/2004,1.03,8286,516.1
7/1/2004,1.26,8136,469.4
8/1/2004,1.43,7990,464.2
9/1/2004,1.61,7927,416.1
10/1/2004,1.76,8061,405.4
11/1/2004,1.93,7932,367.1
12/1/2004,2.16,7934,645.2
1/1/2005,2.28,7784,327
2/1/2005,2.5,7980,294.5
3/1/2005,2.63,7737,312.2
4/1/2005,2.79,7672,280.1
5/1/2005,3,7651,325
6/1/2005,3.04,7524,265.7
7/1/2005,3.26,7406,202.2
8/1/2005,3.5,7345,247.3
9/1/2005,3.62,7553,250
10/1/2005,3.78,7453,289.7
11/1/2005,4,7566,334.9
12/1/2005,4.16,7279,351.9
1/1/2006,4.29,7064,408.9
2/1/2006,4.49,7184,414.6
3/1/2006,4.59,7072,415.7
4/1/2006,4.79,7120,391
5/1/2006,4.94,6980,371.3
6/1/2006,4.99,7001,393.5
7/1/2006,5.24,7175,334.8
8/1/2006,5.25,7091,358.4
9/1/2006,5.25,6847,356.6
10/1/2006,5.25,6727,359.4
11/1/2006,5.25,6872,392.7
12/1/2006,5.24,6762,375.6
1/1/2007,5.25,7116,370.9
2/1/2007,5.26,6927,414.6
3/1/2007,5.26,6731,453.1
4/1/2007,5.25,6850,431
5/1/2007,5.25,6766,408.7
6/1/2007,5.25,6979,391.9
7/1/2007,5.26,7149,379.5
8/1/2007,5.02,7067,351.3
9/1/2007,4.94,7170,370.1
10/1/2007,4.76,7237,353.9
11/1/2007,4.49,7240,326.5
12/1/2007,4.24,7645,379.6
1/1/2008,3.94,7685,398
2/1/2008,2.98,7497,440.1
3/1/2008,2.61,7822,429.1
4/1/2008,2.28,7637,371.4
5/1/2008,1.98,8395,882.9
6/1/2008,2,8575,607.3
7/1/2008,2.01,8937,482.7
8/1/2008,2,9438,420.5
9/1/2008,1.81,9494,513.4
10/1/2008,0.97,10074,601.6
11/1/2008,0.39,10538,704.5
12/1/2008,0.16,11286,688
1/1/2009,0.15,12058,670.2
2/1/2009,0.22,12898,595.6
3/1/2009,0.18,13426,629.5
4/1/2009,0.15,13853,737.5
5/1/2009,0.18,14499,908.2
6/1/2009,0.21,14707,734.2
7/1/2009,0.16,14601,650.6
8/1/2009,0.16,14814,533.2
9/1/2009,0.15,15009,644.8
10/1/2009,0.12,15352,591.2
11/1/2009,0.12,15219,643.2
12/1/2009,0.12,15098,656
1/1/2010,0.11,15046,674
2/1/2010,0.13,15113,641.4
3/1/2010,0.16,15202,634
4/1/2010,0.2,15325,712.3
5/1/2010,0.2,14849,787.6
6/1/2010,0.18,14474,779.1
7/1/2010,0.18,14512,775.3
8/1/2010,0.19,14648,782.4
9/1/2010,0.19,14579,764
10/1/2010,0.19,14516,756.8
11/1/2010,0.19,15081,753.6
12/1/2010,0.18,14348,823.5
1/1/2011,0.17,14013,869.1
2/1/2011,0.16,13820,898.3
3/1/2011,0.14,13737,828.3
4/1/2011,0.1,13957,815.9
5/1/2011,0.09,13855,816.5
6/1/2011,0.09,13962,848.7
7/1/2011,0.07,13763,864.3
8/1/2011,0.1,13818,854.7
9/1/2011,0.08,13948,808.6
10/1/2011,0.07,13594,813.7
11/1/2011,0.08,13302,831.7
12/1/2011,0.07,13093,939.4
1/1/2012,0.08,12797,983.1
2/1/2012,0.1,12813,991
3/1/2012,0.13,12713,1051
4/1/2012,0.14,12646,1088.5
5/1/2012,0.16,12660,1098.5
6/1/2012,0.16,12692,1130.3
7/1/2012,0.16,12656,1017.5
8/1/2012,0.13,12471,981.6
9/1/2012,0.14,12115,1019.3
10/1/2012,0.16,12124,1108.3
11/1/2012,0.16,12005,1243.1
12/1/2012,0.16,12298,1567.1
1/1/2013,0.14,12471,774.2
2/1/2013,0.15,11950,719.1
3/1/2013,0.14,11689,730.7
4/1/2013,0.15,11760,790.8
5/1/2013,0.11,11654,833.4
6/1/2013,0.09,11751,854.2
7/1/2013,0.09,11335,827.4
8/1/2013,0.08,11279,838.5
9/1/2013,0.08,11270,852.4
10/1/2013,0.09,11136,786
11/1/2013,0.08,10787,777.6
12/1/2013,0.09,10404,812.2
1/1/2014,0.07,10202,904.1
2/1/2014,0.07,10349,914.5
3/1/2014,0.08,10380,937.3
4/1/2014,0.09,9702,945.6
5/1/2014,0.09,9859,972.6
6/1/2014,0.1,9460,986.3
7/1/2014,0.09,9608,996.9
8/1/2014,0.09,9599,972.2
9/1/2014,0.09,9262,1000.7
10/1/2014,0.09,8990,979.5
11/1/2014,0.09,9090,999
12/1/2014,0.12,8717,1042.7
1/1/2015,0.11,8885,1093.5
2/1/2015,0.11,8599,1116.1
3/1/2015,0.11,8515,1050.3
4/1/2015,0.12,8550,1039.6
5/1/2015,0.12,8834,1023.4
6/1/2015,0.13,8247,1016.4
7/1/2015,0.13,8167,1007.7
8/1/2015,0.14,7992,1010.7
9/1/2015,0.14,7907,1031.3
10/1/2015,0.12,7922,1043.4
11/1/2015,0.12,8000,1007.9
12/1/2015,0.24,7907,1024
1/1/2016,0.34,7721,1067.6
2/1/2016,0.38,7746,1004.9
3/1/2016,0.36,7945,1052
4/1/2016,0.37,7975,1001.5
5/1/2016,0.37,7668,966.8
6/1/2016,0.38,7786,916.5
7/1/2016,0.39,7658,947.8
8/1/2016,0.4,7809,940.8
9/1/2016,0.4,7967,945.1
10/1/2016,0.4,7827,971.3
11/1/2016,0.41,7488,968.3
12/1/2016,0.54,7495,917.9
1/1/2017,0.65,7518,975.2
2/1/2017,0.66,7399,1024.2
3/1/2017,0.79,7088,1023.3
4/1/2017,0.9,7085,1049.2
5/1/2017,0.91,7059,1135.8
6/1/2017,1.04,6933,1099.1
7/1/2017,1.15,6867,1119.8
8/1/2017,1.16,7097,1133.7
9/1/2017,1.15,6841,1098.3
10/1/2017,1.15,6599,1118
11/1/2017,1.16,6697,1065.4
12/1/2017,1.3,6561,1009.6
1/1/2018,1.41,6582,1153.9
2/1/2018,1.42,6641,1204.1
3/1/2018,1.51,6493,1208.5
4/1/2018,1.69,6418,1209.6
5/1/2018,1.7,6209,1206.2
6/1/2018,1.82,6519,1238.2
7/1/2018,1.91,6180,1247.3
8/1/2018,1.91,6167,1244.8
9/1/2018,1.95,6045,1251.6
10/1/2018,2.19,6123,1218.3
11/1/2018,2.2,6034,1189.6
12/1/2018,2.27,6286,1475.7
1/1/2019,2.4,6516,1370.5
2/1/2019,2.4,6181,1400.7
3/1/2019,2.41,6194,1292.3
4/1/2019,2.42,5850,1226
5/1/2019,2.39,5938,1180.4
6/1/2019,2.38,5985,1152
7/1/2019,2.4,6027,1141.6
8/1/2019,2.13,5999,1194.5
9/1/2019,2.04,5753,1205.5
10/1/2019,1.83,5857,1181.6
11/1/2019,1.55,5811,1236
12/1/2019,1.55,5753,1193.7
1/1/2020,1.55,5892,1268.9
2/1/2020,1.58,5787,1392.7
3/1/2020,0.65,7140,2120.8
4/1/2020,0.05,23078,6351.5
